rank,prev_rank,name,league,off,def,city,zip
342,344,Slovan Bratislava,UEFA Europa Conference League,1.12,1.44,New Ashlynnbury,41013-7877
343,345,Ural Sverdlovsk Oblast,Russian Premier Liga,0.98,1.27,South Lemuelview,97617
344,346,1. FC Heidenheim 1846,German 2. Bundesliga,1.22,1.57,Emardcester,62791-7891
345,343,Consadole Sapporo,Japanese J League,1.59,2.01,Beulahworth,77565
346,348,Krylia Sovetov,Russian Premier Liga,1.02,1.33,Dibbertberg,79000
347,349,Sheffield Wednesday,English League One,1.12,1.45,Ogden,67700-8384
348,350,KV Mechelen,Belgian Jupiler League,1.45,1.85,Rippinborough,53606
349,352,Toronto FC,Major League Soccer,1.17,1.51,Sydneefurt,32562
350,355,Montreal Impact,Major League Soccer,1.21,1.57,Florissant,00941-9696
351,339,Huracán,Argentina Primera Division,0.9,1.2,Stammview,80027-8595
352,347,Djurgardens IF,Swedish Allsvenskan,1.21,1.58,East Alvaland,50322-5551
353,353,Pacos Ferreira,Portuguese Liga,1.1,1.45,Haleyburgh,84352
354,354,FC Juárez,Mexican Primera Division Torneo Clausura,1.02,1.36,East Bethanystead,72128-7867
355,351,Eibar,Spanish Segunda Division,0.91,1.22,West Jayden,65303
356,381,Viking FK,Norwegian Tippeligaen,1.52,1.98,Fort Ashlynnside,76513
357,365,CA Independiente,Argentina Primera Division,1.04,1.38,North Queen,24448
358,356,Colon Santa Fe,Argentina Primera Division,1.04,1.4,Tampa,02271
359,358,Barnsley,English League One,1.26,1.67,East Velva,07272
360,360,Sochi,Russian Premier Liga,1.11,1.5,Lake Johnsonhaven,39801-5391
361,361,Charlotte FC,Major League Soccer,1.24,1.66,Port Lempiport,21947-2211
362,362,Birmingham,English League Championship,1.02,1.4,Shaynaberg,85934
363,363,Alanyaspor,Turkish Turkcell Super Lig,1.42,1.88,Alishamouth,08353
364,364,Cardiff City,English League Championship,1.04,1.41,Port Danny,88239-9863
365,367,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.33,1.78,Warner Robins,80536-3701
366,370,Las Palmas,Spanish Segunda Division,0.91,1.27,West Edmond,46837
367,366,Godoy Cruz,Argentina Primera Division,1,1.39,Terryview,13698-0977
368,373,Banfield,Argentina Primera Division,0.92,1.29,New Mandyfurt,26256
369,371,Randers FC,Danish SAS-Ligaen,1.18,1.63,Lake Jo,55370-4949
370,372,SpVgg Greuther Fürth,German 2. Bundesliga,1.12,1.55,Murrayberg,24712-4254
371,369,Ankaragucu,Turkish Turkcell Super Lig,1.06,1.48,East Mariamhaven,35343
372,409,Istanbulspor,Turkish Turkcell Super Lig,1.17,1.61,Swiftberg,15658-9735
373,359,Chicago Fire,Major League Soccer,1.18,1.63,Vadaburgh,04801
374,374,Querétaro,Mexican Primera Division Torneo Clausura,0.98,1.39,Moenshire,84743
375,375,Troyes,French Ligue 1,1.23,1.7,Baton Rouge,27558
376,376,Fakel Voronezh,Russian Premier Liga,1.01,1.43,McCulloughstead,82510
377,378,Wigan,English League Championship,0.92,1.32,Lake Edison,95114-1139
378,379,FC Groningen,Dutch Eredivisie,1.24,1.73,Koeppbury,90271-4923
379,380,Excelsior,Dutch Eredivisie,1.26,1.75,Estevanchester,70270-4055
380,341,Austria Lustenau,Austrian T-Mobile Bundesliga,1.31,1.82,Port Ada,56541
381,377,Austin FC,Major League Soccer,1.24,1.73,East Oscar,75746-2421
382,383,Como,Italy Serie B,1.05,1.5,Mayaguez,92060
383,384,Sochaux,French Ligue 2,1.02,1.47,Veumhaven,36814
384,416,Houston Dynamo,Major League Soccer,1.21,1.71,Canton,58232
385,385,Huddersfield Town,English League Championship,0.97,1.41,Collinstown,57728-3684
386,387,Emmen,Dutch Eredivisie,1.25,1.77,Burien,62435-8051
387,388,Grasshoppers Zürich,Swiss Raiffeisen Super League,1.39,1.95,Grahamborough,74163-5206
388,368,Valerenga,Norwegian Tippeligaen,1.24,1.76,Eleonoreworth,14354
389,390,FK Nizhny Novgorod,Russian Premier Liga,0.92,1.36,Longview,72771
390,391,SK Austria Klagenfurt,Austrian T-Mobile Bundesliga,1.32,1.89,Preciousland,40186-2366
391,389,Colorado Rapids,Major League Soccer,1.08,1.59,Rodolfoton,01207
392,393,Queens Park Rangers,English League Championship,1.04,1.54,Belleworth,39599-2199
393,394,Hammarby,Swedish Allsvenskan,1.21,1.75,Julianachester,99480
394,395,Holstein Kiel,German 2. Bundesliga,1.33,1.91,Lake Elsinore,36268
395,396,SV Darmstadt 98,German 2. Bundesliga,1.07,1.58,North Christianatown,12757
396,411,Real Salt Lake,Major League Soccer,1.09,1.61,Renton,78663
397,398,Mazatlán FC,Mexican Primera Division Torneo Clausura,1.12,1.66,Elianefurt,21723
398,402,Instituto,Argentina Primera Division,1,1.5,Lake Michealhaven,91612-4779
399,403,Atlético Tucumán,Argentina Primera Division,0.93,1.41,Vancouver,27223
400,399,Ballkani,UEFA Europa Conference League,1.2,1.76,South Luciennetown,63824-4227
401,400,Melbourne City,Australian A-League,1.32,1.93,Donatohaven,87980
402,401,Leganes,Spanish Segunda Division,0.86,1.33,North Rosiestead,83866-6566
403,382,FC Tokyo,Japanese J League,1.17,1.74,Lake Oswald,95085-9699
404,392,Sarmiento,Argentina Primera Division,0.93,1.43,Fort Stoneside,62744
405,404,Platense,Argentina Primera Division,0.85,1.32,Adrainmouth,37147-7541
406,405,Hartberg,Austrian T-Mobile Bundesliga,1.19,1.77,Kuhnstead,73638
407,406,Pisa,Italy Serie B,0.93,1.44,East Buckburgh,07196
408,407,Belgrano Cordoba,Argentina Primera Division,0.9,1.4,Krajcikfield,09622-2248
409,408,Cambuur Leeuwarden,Dutch Eredivisie,1.25,1.86,Hodkiewiczshire,90189-9780
410,410,Rotherham United,English League Championship,0.96,1.48,Lake Aniyah,44380
411,417,Gimnasia La Plata,Argentina Primera Division,0.86,1.36,Freidafield,24156
412,412,Sudtirol,Italy Serie B,0.7,1.15,Fort Crystelville,49301-0798
413,425,St. Louis CITY SC,Major League Soccer,1.12,1.72,Antioch,45880
414,413,Sagan Tosu,Japanese J League,0.92,1.46,Salmaton,46156-7938
415,414,Bolton,English League One,0.89,1.42,Port Berenice,24423-8862
416,415,Real Oviedo,Spanish Segunda Division,0.78,1.28,Smyrna,33290
417,397,Sarpsborg,Norwegian Tippeligaen,1.14,1.76,Lake Rosendo,78992
418,427,Tromso,Norwegian Tippeligaen,1.08,1.69,Silver Spring,13669
419,386,Umraniyespor,Turkish Turkcell Super Lig,1.14,1.77,Country Club,88393-6890
420,418,Palermo,Italy Serie B,1.05,1.66,Shirleyview,87701
421,419,Rigas Futbola Skola,UEFA Europa Conference League,1.16,1.8,Pourosshire,29857
422,420,AaB,Danish SAS-Ligaen,0.99,1.58,Lake Kellenboro,76640-4474
423,421,Villarreal B,Spanish Segunda Division,0.98,1.56,Colliermouth,04278
424,436,Giresunspor,Turkish Turkcell Super Lig,1.06,1.68,Hoffman Estates,49699-8727
425,422,1. FC Kaiserslautern,German 2. Bundesliga,1.02,1.65,Trishaton,79130
426,423,Málaga,Spanish Segunda Division,0.79,1.34,Reading,21718
427,424,Blackpool,English League Championship,1.06,1.7,East Merlin,59362
428,426,Plymouth Argyle,English League One,1.02,1.66,Peabody,63564-5541
429,428,Racing Santander,Spanish Segunda Division,0.85,1.44,Kuhlmanberg,63625-3948
430,431,Dijon FCO,French Ligue 2,0.85,1.44,Dickinsonville,32465
431,429,Central Córdoba Santiago del Estero,Argentina Primera Division,0.87,1.47,North Napoleon,49664-7605
432,430,Barracas Central,Argentina Primera Division,0.87,1.48,Felicitamouth,42345-6295
433,432,Zalgiris Vilnius,UEFA Europa Conference League,1.1,1.79,Schroederboro,15280
434,433,St Mirren,Scottish Premiership,0.95,1.58,Omaworth,74444-2879
435,435,Central Coast Mariners,Australian A-League,1.27,2.03,Bernardburgh,70711-5343
436,434,Union Santa Fe,Argentina Primera Division,0.85,1.46,Flint,67116-1179
437,437,Peterborough United,English League One,1.01,1.68,Fort Shyanneside,53558-2930
438,445,IFK Norrkoping,Swedish Allsvenskan,1.08,1.78,East Sanfordside,72990-8961
439,438,Derby County,English League One,0.94,1.6,Luellaburgh,38950-2220
440,439,FC Cartagena,Spanish Segunda Division,0.89,1.53,New Raulchester,80049-9573
441,440,FC Vaduz,Swiss Raiffeisen Super League,0.96,1.63,East Kamrenburgh,95547-0457
442,441,Sporting Gijón,Spanish Segunda Division,0.85,1.48,Labadieport,73909-4394
443,442,KV Kortrijk,Belgian Jupiler League,1.08,1.8,Port Sabinaport,34350-6357
444,447,Inter Miami CF,Major League Soccer,1.05,1.77,Woodbury,43667-7049
445,443,Kalmar FF,Swedish Allsvenskan,0.96,1.64,South Giovanna,65893-2941
446,444,Reading,English League Championship,0.9,1.58,Williamsonburgh,05127-5179
447,446,US Quevilly,French Ligue 2,0.96,1.66,East Savanah,66965
448,448,Ascoli,Italy Serie B,0.84,1.5,Monicafield,97155-1775
449,449,SD Huesca,Spanish Segunda Division,0.73,1.36,Runteville,02437-0501
450,457,Odd BK,Norwegian Tippeligaen,0.91,1.62,Dickinsonfort,21670-3621
451,450,Kilmarnock,Scottish Premiership,0.91,1.63,Lake Jamelton,75051
452,451,St Johnstone,Scottish Premiership,0.88,1.58,New Haven,69355-3454
453,452,OFI Crete,Greek Super League,0.9,1.62,Jefferson City,34587-1657
454,453,Mirandes,Spanish Segunda Division,0.86,1.56,Woodland,01065-0861
455,454,Valenciennes,French Ligue 2,0.9,1.62,Jakobborough,27192
456,455,Arminia Bielefeld,German 2. Bundesliga,1.14,1.96,North Graceshire,44998
457,456,1. FC Magdeburg,German 2. Bundesliga,1.08,1.88,East Sister,33547-0464
458,458,Modena,Italy Serie B,0.92,1.67,Lake Letitia,19927
459,459,Reggina,Italy Serie B,0.84,1.56,New Johnnyland,82348
460,460,Rodez,French Ligue 2,0.75,1.44,Lake Dovie,91623-2758
461,461,HJK Helsinki,UEFA Europa League,0.94,1.71,Ericatown,46764
462,462,Grenoble,French Ligue 2,0.61,1.23,West Caesar,75942-6924
463,463,Lyngby,Danish SAS-Ligaen,0.86,1.61,Crooksmouth,75825
464,464,Guangzhou Evergrande,Chinese Super League,1.08,1.93,Schillerchester,49673
465,465,Portsmouth,English League One,0.82,1.57,Jamaalworth,25328-6080
466,466,SV Zulte Waregem,Belgian Jupiler League,1.35,2.32,Savannahborough,34794-5427
467,467,Pau,French Ligue 2,0.92,1.75,Funkside,33025-1514
468,468,Cittadella,Italy Serie B,0.7,1.42,North Antwoncester,13585-1729
469,472,Avispa Fukuoka,Japanese J League,0.78,1.56,Dustinland,92696-5236
470,469,Hannover 96,German 2. Bundesliga,1.07,1.98,Timmycester,87567
471,488,Kashiwa Reysol,Japanese J League,0.91,1.75,Stamford,52792
472,470,Ross County,Scottish Premiership,0.92,1.76,Lake Vernonton,26638
473,471,Amiens,French Ligue 2,0.83,1.63,Brakusland,99745
474,473,Orlando Pirates,South African ABSA Premier League,0.75,1.53,Lockmanbury,55295
475,474,Spal,Italy Serie B,0.83,1.65,Marquischester,24778-2983
476,475,SD Ponferradina,Spanish Segunda Division,0.77,1.55,New Britain,33370-3875
477,476,Perugia,Italy Serie B,0.84,1.67,North Yessenia,11671
478,478,Nimes,French Ligue 2,1.01,1.91,Port Emmett,96381
479,479,Atromitos,Greek Super League,0.71,1.48,Lake Elwin,48728-3011
480,484,Arsenal Sarandi,Argentina Primera Division,0.75,1.54,Fort Alexys,06463-0212
481,490,Stromsgodset,Norwegian Tippeligaen,0.99,1.89,Emmiefield,93345-1808
482,477,San Antonio FC,United Soccer League,0.88,1.74,Friedrichfield,86202
483,500,Kyoto Purple Sanga,Japanese J League,0.83,1.68,Fort Mafalda,05030
484,481,Burgos,Spanish Segunda Division,0.69,1.47,Thompsonworth,35368
485,480,AIK,Swedish Allsvenskan,0.84,1.7,Katelynntown,54718
486,502,Gamba Osaka,Japanese J League,0.92,1.82,South Aaronberg,94038-1887
487,486,Stabaek,Norwegian Tippeligaen,0.94,1.85,New Aracelibury,05495
488,482,Livingston,Scottish Premiership,0.83,1.69,Rock Hill,61807-1419
489,483,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,0.82,1.68,Emilyton,55616
490,485,Sydney FC,Australian A-League,1.05,2.03,Lake Enochborough,76638-4135
491,487,Ternana,Italy Serie B,0.85,1.74,Lake Jean,16011
492,491,Charlton Athletic,English League One,0.98,1.94,Cristinaberg,80659
493,492,SV Ried,Austrian T-Mobile Bundesliga,0.87,1.8,East Elisabeth,37978
494,493,Western Sydney FC,Australian A-League,0.99,1.97,Lake Maybellport,86916-7589
495,489,Shonan Bellmare,Japanese J League,0.83,1.74,Fountainebleau,43122-6934
496,495,Laval,French Ligue 2,0.83,1.75,New Clintonworth,26595
497,497,Benevento,Italy Serie B,0.77,1.67,Lake Piper,50301-0514
498,498,Beijing Guoan,Chinese Super League,0.98,1.99,Eldridgeview,86518
499,499,1. FC Nürnberg,German 2. Bundesliga,0.8,1.72,East Ryan,03719
500,494,Louisville City FC,United Soccer League,0.83,1.77,Colemanside,92023
501,501,Dundee Utd,Scottish Premiership,0.87,1.85,Blandaberg,40265-3110
502,503,Wycombe Wanderers,English League One,0.78,1.72,West Robertafort,83940
503,509,Haugesund,Norwegian Tippeligaen,0.87,1.86,Kemmerville,16100-2312
504,506,Annecy,French Ligue 2,0.79,1.75,Remingtonland,58310-8666
505,507,Shanghai SIPG,Chinese Super League,0.9,1.92,North Malindahaven,51005-1151
506,508,Jahn Regensburg,German 2. Bundesliga,0.9,1.92,Hartmannstead,86220-8928
507,505,San Diego Loyal SC,United Soccer League,0.95,2,Port Lucioberg,83598-7056
508,504,Tampa Bay Rowdies,United Soccer League,0.88,1.9,South Mitchel,97098
509,510,Pyunik Yerevan,UEFA Europa Conference League,0.87,1.9,Port Pablo,67367-4993
510,496,IFK Goteborg,Swedish Allsvenskan,0.8,1.8,Annandale,51836-2650
511,511,UD Ibiza,Spanish Segunda Division,0.71,1.66,Alejandraworth,12282
512,513,Fleetwood Town,English League One,0.76,1.75,Roxaneside,99658-6164
513,514,Hansa Rostock,German 2. Bundesliga,0.77,1.77,Meridian,33444
514,515,Sacramento Republic FC,United Soccer League,0.79,1.81,Ninaberg,27891-2754
515,516,FC Khimki,Russian Premier Liga,0.82,1.87,Provo,73782-5240
516,517,KV Oostende,Belgian Jupiler League,1.02,2.18,West Brandyn,96640
517,518,Winterthur,Swiss Raiffeisen Super League,0.81,1.86,Abbycester,72447
518,519,Brescia,Italy Serie B,0.74,1.74,Romagueraboro,33154-7809
519,520,Giannina,Greek Super League,0.72,1.72,North Glendafort,55077-8215
520,521,AC Horsens,Danish SAS-Ligaen,0.88,1.98,Townecester,17457
521,522,Arizona United,United Soccer League,0.87,1.98,Lake Lolita,54736-3630
522,530,Memphis 901 FC,United Soccer League,0.95,2.1,Kassulkeboro,89353
523,523,Lincoln City,English League One,0.61,1.57,Ryannville,64806-3138
524,524,Eintracht Braunschweig,German 2. Bundesliga,0.88,2.02,Madalineworth,65297
525,525,Adelaide United,Australian A-League,1.06,2.3,South Gate,33515
526,512,Albirex Niigata,Japanese J League,0.82,1.93,Port Estrellaburgh,37104-7504
527,526,Eupen,Belgian Jupiler League,0.98,2.19,Alliestead,75179
528,527,Exeter City,English League One,0.85,1.98,Corvallis,99759
529,528,Asteras Tripolis,Greek Super League,0.5,1.42,East Armand,18140
530,529,Sandefjord,Norwegian Tippeligaen,0.91,2.11,Johnsonborough,73028-3408
531,531,Melbourne Victory,Australian A-League,0.77,1.9,Cuyahoga Falls,68229
532,532,FC Sion,Swiss Raiffeisen Super League,0.96,2.19,Irvine,68969
533,539,IK Sirius,Swedish Allsvenskan,0.79,1.94,Lubbock,97028
534,546,Colorado Springs Switchbacks FC,United Soccer League,0.77,1.92,Botsfordburgh,35380-9221
535,534,Torpedo Moskow,Russian Premier Liga,0.72,1.86,Morissettefort,01855
536,535,Lugo,Spanish Segunda Division,0.58,1.64,Azusa,18428-3599
537,536,Cosenza,Italy Serie B,0.54,1.57,Port Una,23684
538,537,Shamrock Rovers,UEFA Europa Conference League,0.69,1.84,New Kiarra,28606-4526
539,533,Mjallby,Swedish Allsvenskan,0.57,1.64,Bednarburgh,40010
540,538,Oxford United,English League One,0.64,1.76,North Raphaelleland,78657
541,540,Black Aces,South African ABSA Premier League,0.56,1.65,Williamsonburgh,73479
542,541,RFC Seraing,Belgian Jupiler League,0.75,1.98,Port Juanita,23177
543,543,Oakland Roots,United Soccer League,0.75,1.98,Hahnborough,99598-2386
544,542,Brommapojkarna,Swedish Allsvenskan,0.7,1.91,Lake Merlin,33574-6819
545,544,Stellenbosch FC,South African ABSA Premier League,0.64,1.83,Rancho Palos Verdes,79519-3123
546,547,Volos NFC,Greek Super League,0.67,1.9,West Sincereland,42709
547,548,Burton Albion,English League One,0.74,2.01,Leesburg,37731-2075
548,545,Aalesund,Norwegian Tippeligaen,0.71,1.98,Mafaldabury,80013-3641
549,555,El Paso Locomotive FC,United Soccer League,0.72,2,Bossier City,94725-5592
550,549,Niort,French Ligue 2,0.71,1.98,Lake Carleyview,16283
551,550,Ionikos FC,Greek Super League,0.58,1.77,Michaelborough,93892
552,551,Levadiakos,Greek Super League,0.61,1.83,North Shanon,72992
553,552,Shrewsbury Town,English League One,0.63,1.87,West Leiffort,60742-4807
554,553,SuperSport United,South African ABSA Premier League,0.45,1.55,North Angelofurt,53196
555,556,SV Sandhausen,German 2. Bundesliga,0.72,2.04,Homenickborough,81611
556,557,Shandong Luneng,Chinese Super League,0.82,2.22,Roseland,78679
557,558,Salford City,English League Two,0.78,2.16,New Eileen,97125-5375
558,559,Jiangsu Suning FC,Chinese Super League,0.71,2.04,Fort Laruecester,81187
559,560,Cheltenham Town,English League One,0.67,1.99,Minot,13258
560,554,Gazisehir Gaziantep,Turkish Turkcell Super Lig,0.71,2.05,Jayceberg,46877-8731
561,567,Halmstads BK,Swedish Allsvenskan,0.64,1.94,Arcadia,06711
562,561,Mansfield Town,English League Two,0.71,2.08,Lake Kaylie,77054-1521
563,563,Milton Keynes Dons,English League One,0.58,1.86,Daretown,94065
564,564,Panetolikos,Greek Super League,0.63,1.97,Stehrbury,96994
565,571,New Mexico United,United Soccer League,0.67,2.04,Maudieshire,53046
566,566,Yokohama FC,Japanese J League,0.65,2,East Maximecester,13471
567,568,Stockport County,English League Two,0.49,1.72,Leannonhaven,54796-5841
568,565,Hamarkamaratene,Norwegian Tippeligaen,0.68,2.08,Hoboken,04019
569,570,IFK Värnamo,Swedish Allsvenskan,0.58,1.91,Cleoland,47367-8418
570,569,Pittsburgh Riverhounds,United Soccer League,0.51,1.82,West Joycechester,07704-8386
571,572,Bristol Rovers,English League One,0.65,2.07,Daviston,25272
572,573,Western United,Australian A-League,0.77,2.3,North Maximus,82328
573,574,Wellington Phoenix,Australian A-League,0.79,2.36,Cutler Bay,33369-6037
574,562,Orange County SC,United Soccer League,0.58,1.99,Fontana,05455-0924
575,575,TS Galaxy,South African ABSA Premier League,0.37,1.59,Mariannafield,94035-6627
576,576,Kaizer Chiefs,South African ABSA Premier League,0.46,1.76,Madalinemouth,44709-3663
577,577,Birmingham Legion FC,United Soccer League,0.66,2.19,Schusterbury,52063-3997
578,578,Brisbane Roar,Australian A-League,0.6,2.07,Vincenzatown,35592
579,579,Lamia,Greek Super League,0.47,1.85,Daleburgh,55823
580,580,Newcastle Jets,Australian A-League,0.68,2.28,Fort Griffin,63695
581,582,Degerfors IF,Swedish Allsvenskan,0.68,2.29,South Rogelio,42845
582,581,Port Vale,English League One,0.61,2.16,Albany,65096-8944
583,583,AmaZulu,South African ABSA Premier League,0.4,1.81,Maeborough,79533
584,584,Bradford City,English League Two,0.48,1.97,Martytown,89193
585,585,Swindon Town,English League Two,0.56,2.17,Lake Jetttown,70266
586,589,Miami FC,United Soccer League,0.53,2.11,Jarrettfort,49823-5726
587,586,Leyton Orient,English League Two,0.39,1.84,Lake Zackarybury,86265-3574
588,587,Carlisle United,English League Two,0.39,1.86,Rhiannonshire,73116-9188
589,590,Morecambe,English League One,0.58,2.26,Des Plaines,58654-6705
590,591,Golden Arrows,South African ABSA Premier League,0.43,1.97,El Paso,39280-7916
591,592,Newport County,English League Two,0.49,2.11,Wolfffurt,35044-1645
592,588,Hatayspor,Turkish Turkcell Super Lig,0.58,2.29,Kemmertown,73499
593,593,Royal AM,South African ABSA Premier League,0.46,2.06,Riverton,07408
594,594,Perth Glory,Australian A-League,0.58,2.3,Port Kadeboro,03005
595,595,Sekhukhune United,South African ABSA Premier League,0.24,1.61,South Winifredstead,66677-0130
596,596,Cambridge United,English League One,0.4,1.98,Port Sandra,91755
597,597,Stevenage,English League Two,0.36,1.9,Minneapolis,83564-8749
598,598,Northampton Town,English League Two,0.34,1.88,Uriahboro,76796-3175
599,600,Hartford Athletic,United Soccer League,0.56,2.36,Leslystead,60716-0340
600,602,Monterey Bay,United Soccer League,0.47,2.17,Palo Alto,19709-4175
601,599,Indy Eleven,United Soccer League,0.43,2.11,Fort Kevonmouth,53449-2180
602,603,Tianjin Teda,Chinese Super League,0.5,2.26,Palm Beach Gardens,62921-9572
603,604,Macarthur FC,Australian A-League,0.63,2.55,Santa Cruz,11476-6642
604,601,Varbergs BoIS FC,Swedish Allsvenskan,0.49,2.27,Hendersonville,62017-9055
605,605,Charleston Battery,United Soccer League,0.45,2.22,West Carolynfield,16448
606,607,Shanghai Greenland,Chinese Super League,0.56,2.47,Ernestobury,51657-0603
607,608,Harrogate Town,English League Two,0.54,2.43,Lafayette,27388-5960
608,609,Moroka Swallows,South African ABSA Premier League,0.24,1.77,West Ashlynnton,40661
609,606,Tulsa Roughnecks,United Soccer League,0.49,2.37,Yostville,85974-1327
610,614,Rio Grande Valley FC Toros,United Soccer League,0.41,2.21,South Harrison,73705-2547
611,610,Hebei China Fortune FC,Chinese Super League,0.5,2.43,South Isabellafurt,99083
612,611,Colchester United,English League Two,0.27,1.91,Blockland,10695
613,612,Henan Jianye,Chinese Super League,0.46,2.36,New Adrianna,23795-8620
614,613,Las Vegas Lights FC,United Soccer League,0.41,2.26,New Brenden,54681
615,615,Gillingham,English League Two,0.27,1.94,Gulgowskiview,78355
616,616,Dalian Aerbin,Chinese Super League,0.51,2.51,Koeppburgh,18890
617,617,Tshakhuma Tsha Madzivhandila,South African ABSA Premier League,0.25,1.91,Sydniestead,18792-9835
618,618,Guangzhou RF,Chinese Super League,0.66,2.86,Guiseppeland,41711
619,619,Maritzburg Utd,South African ABSA Premier League,0.26,1.98,New Adellchester,06252-1852
620,620,Accrington Stanley,English League One,0.39,2.28,New Rosalee,99991-5265
621,621,Wuhan Zall,Chinese Super League,0.39,2.32,Mackenzieboro,42922-1473
622,622,Crewe Alexandra,English League Two,0.36,2.25,North Jadenbury,07698-6850
623,623,Detroit City FC,United Soccer League,0.27,2.08,East Marquisecester,97338-5344
624,624,Richards Bay,South African ABSA Premier League,0.2,1.95,Cathedral City,44359-3500
625,625,Rochdale,English League Two,0.36,2.4,West Delia,46092-5572
626,626,Grimsby Town,English League Two,0.26,2.15,Dominicfurt,36713-8430
627,627,Chippa United,South African ABSA Premier League,0.25,2.16,Dunwoody,91635-7478
628,628,Tranmere Rovers,English League Two,0.2,2.02,New Elwin,83471-1311
629,635,Loudoun United FC,United Soccer League,0.36,2.47,Nolanbury,25411
630,629,Tianjin Quanujian,Chinese Super League,0.37,2.51,Hamillbury,51430
631,630,Barrow,English League Two,0.2,2.06,New Jayson,43125
632,631,Shenzhen FC,Chinese Super League,0.4,2.6,West Wilburnworth,55041
633,632,Chongqing Lifan,Chinese Super League,0.3,2.35,Hawthorne,03068-1032
634,633,Hartlepool,English League Two,0.38,2.56,Fort Clementina,56092-6320
635,634,Walsall,English League Two,0.2,2.11,Kristoferside,68292-0789
636,636,Sutton United,English League Two,0.23,2.26,Fort Julianmouth,22681
637,637,AFC Wimbledon,English League Two,0.24,2.3,Jeramieworth,67361-5774
638,638,Doncaster Rovers,English League Two,0.2,2.35,Clemensfield,15629-8740
639,639,Forest Green Rovers,English League One,0.2,2.38,East Sofiaworth,96716
640,640,Crawley Town,English League Two,0.2,2.41,East Myraworth,45414
641,641,Guizhou Renhe,Chinese Super League,0.2,2.61,South Glenna,98359
